time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:16.986000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.036000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.086000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.136000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.185000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.235000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.285000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.335000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.386000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.435000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.485000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.535000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.585000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.636000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.686000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.735000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.786000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.836000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.885000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.935000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:17.986000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.036000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.086000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.136000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.186000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.235000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.285000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.336000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.385000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.436000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.486000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.536000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.585000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.635000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.685000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.736000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.785000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.835000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.886000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.936000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:18.985000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.035000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.088000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.135000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.186000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.235000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.286000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.336000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.386000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.436000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.485000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.535000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.586000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.635000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.685000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.735000,-0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.786000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.838000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
1970/01/01/07:20:19.885000,-4.99486923218e-05,0.0,0.0,0.0,0.0,0.0
