time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:24:53.720000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.770000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.820000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.869000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.919000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:53.973000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.019000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.070000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.119000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.169000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.220000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.270000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.319000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.369000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.420000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.471000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.520000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.569000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.620000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.670000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.720000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.769000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.819000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.870000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.920000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:54.969000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.019000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.070000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.120000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.170000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.220000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.269000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.319000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.369000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.419000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.470000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
1970/01/01/07:24:55.520000,-2.60770320892e-08,5.96046447754e-08,0.0,0.0,0.0,0.0
