time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:20:00.642000,0.0032000541687,-0.00800001621246,0.0,0.0,0.0,0.0
1970/01/01/07:20:00.692000,0.00314998626709,-0.00775003433228,0.0,0.0,0.0,0.0
1970/01/01/07:20:00.743000,0.00304996967316,-0.00755000114441,0.0,0.0,0.0,0.0
1970/01/01/07:20:00.793000,0.00294995307922,-0.00734996795654,0.0,0.0,0.0,0.0
1970/01/01/07:20:00.842000,0.0029000043869,-0.00715005397797,0.0,0.0,0.0,0.0
1970/01/01/07:20:00.893000,0.00279998779297,-0.0069500207901,0.0,0.0,0.0,0.0
1970/01/01/07:20:00.942000,0.00275003910065,-0.00674998760223,0.0,0.0,0.0,0.0
1970/01/01/07:20:00.992000,0.00265002250671,-0.00654995441437,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.043000,0.0025999546051,-0.00635004043579,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.092000,0.00250005722046,-0.00619995594025,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.143000,0.00244998931885,-0.00600004196167,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.192000,0.00234997272491,-0.00584995746613,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.243000,0.00230002403259,-0.00569999217987,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.292000,0.00224995613098,-0.005499958992,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.342000,0.00215005874634,-0.00534999370575,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.393000,0.00209999084473,-0.00520002841949,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.443000,0.0020500421524,-0.00510001182556,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.492000,0.00199997425079,-0.00495004653931,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.542000,0.00195002555847,-0.00479996204376,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.592000,0.00189995765686,-0.00464999675751,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.642000,0.00185000896454,-0.00454998016357,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.692000,0.00179994106293,-0.00440001487732,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.742000,0.00174999237061,-0.00429999828339,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.792000,0.00170004367828,-0.00415003299713,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.843000,0.00164997577667,-0.0040500164032,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.893000,0.00160002708435,-0.00394999980927,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.943000,0.00154995918274,-0.00384998321533,0.0,0.0,0.0,0.0
1970/01/01/07:20:01.992000,0.00150001049042,-0.00370001792908,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.042000,0.00144994258881,-0.00360000133514,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.093000,0.00144994258881,-0.00349998474121,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.142000,0.00139999389648,-0.00339996814728,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.192000,0.00135004520416,-0.00335001945496,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.242000,0.00129997730255,-0.00325000286102,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.293000,0.00129997730255,-0.00314998626709,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.343000,0.00125002861023,-0.00304996967316,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.392000,0.00119996070862,-0.00300002098083,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.442000,0.00119996070862,-0.0029000043869,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.493000,0.0011500120163,-0.00279998779297,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.542000,0.00109994411469,-0.00275003910065,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.593000,0.00109994411469,-0.00265002250671,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.643000,0.00104999542236,-0.0025999546051,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.693000,0.00104999542236,-0.00250005722046,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.742000,0.00100004673004,-0.00244998931885,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.792000,0.00094997882843,-0.00240004062653,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.843000,0.00094997882843,-0.00230002403259,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.892000,0.000900030136108,-0.00224995613098,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.943000,0.000900030136108,-0.00220000743866,0.0,0.0,0.0,0.0
1970/01/01/07:20:02.992000,0.000849962234497,-0.00215005874634,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.043000,0.000849962234497,-0.00209999084473,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.092000,0.000800013542175,-0.00199997425079,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.141000,0.000800013542175,-0.00199997425079,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.192000,0.000800013542175,-0.00195002555847,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.243000,0.000800013542175,-0.00189995765686,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.293000,0.000749945640564,-0.00185000896454,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.342000,0.000749945640564,-0.00179994106293,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.393000,0.000699996948242,-0.00174999237061,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.443000,0.000699996948242,-0.00170004367828,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.492000,0.000699996948242,-0.00164997577667,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.543000,0.00065004825592,-0.00160002708435,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.593000,0.00065004825592,-0.00160002708435,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.643000,0.00065004825592,-0.00154995918274,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.693000,0.000599980354309,-0.00150001049042,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.743000,0.000599980354309,-0.00144994258881,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.793000,0.000599980354309,-0.00139999389648,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.843000,0.000550031661987,-0.00135004520416,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.892000,0.000550031661987,-0.00135004520416,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.942000,0.000550031661987,-0.00129997730255,0.0,0.0,0.0,0.0
1970/01/01/07:20:03.993000,0.000499963760376,-0.00125002861023,0.0,0.0,0.0,0.0
